Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dummy_data   (base table, 19 cols)",,,logistics.dummy_data,
delivery_partner,Data representing the delivery partner.,"logistics.dummy_data.""delivery_partner""",logistics.dummy_data,
delivery_id,Unique identifier for delivery.,"logistics.dummy_data.""delivery_id""",logistics.dummy_data,
transaction_id,Unique ONDC transaction identifier.,"logistics.dummy_data.""transaction_id""",logistics.dummy_data,
date,Timestamp or date indicating when date occurred.,"logistics.dummy_data.""date""",logistics.dummy_data,
order_created_as_on,Timestamp or date indicating when order created as on occurred.,"logistics.dummy_data.""order_created_as_on""",logistics.dummy_data,
cancel_reason,Data representing the cancel reason.,"logistics.dummy_data.""cancel_reason""",logistics.dummy_data,
status,Turn-Around-Time (TAT) measurement.,"logistics.dummy_data.""status""",logistics.dummy_data,
starting_pincode,Indian postal code (pincode).,"logistics.dummy_data.""starting_pincode""",logistics.dummy_data,
drop_pincode,Indian postal code (pincode).,"logistics.dummy_data.""drop_pincode""",logistics.dummy_data,
package_type,Data representing the package type.,"logistics.dummy_data.""package_type""",logistics.dummy_data,
delivery_mode,Data representing the delivery mode.,"logistics.dummy_data.""delivery_mode""",logistics.dummy_data,
distance_kms,Data representing the distance kms.,"logistics.dummy_data.""distance_kms""",logistics.dummy_data,
order_marked_ready,Data representing the order marked ready.,"logistics.dummy_data.""order_marked_ready""",logistics.dummy_data,
rider_assigned,Unique identifier for rider assigned.,"logistics.dummy_data.""rider_assigned""",logistics.dummy_data,
rider_at_location,Timestamp or date indicating when rider at location occurred.,"logistics.dummy_data.""rider_at_location""",logistics.dummy_data,
order_picked,Data representing the order picked.,"logistics.dummy_data.""order_picked""",logistics.dummy_data,
order_delivered_timestamp,Timestamp or date indicating when order delivered timestamp occurred.,"logistics.dummy_data.""order_delivered_timestamp""",logistics.dummy_data,
order_cancelled_timestamp,Timestamp or date indicating when order cancelled timestamp occurred.,"logistics.dummy_data.""order_cancelled_timestamp""",logistics.dummy_data,
tat_order,Turn-Around-Time (TAT) measurement.,"logistics.dummy_data.""tat_order""",logistics.dummy_data,
